Molecule ChEMBL ID,Smiles,Standard Relation,Standard Value
CHEMBL556724,CS(=O)(=O)c1ccc(-c2cnc(Oc3ccccc3)nc2-c2ccc(F)cc2)cc1,'>',4640.0
CHEMBL560088,CS(=O)(=O)c1ccc(-c2cnc(Cc3ccccc3O)nc2-c2ccc(F)cc2)cc1,'=',43.0
CHEMBL257103,CS(=O)(=O)c1ccc(-c2nc(NC3CCCC3)cc(C(F)(F)F)n2)cc1,'=',475.9
CHEMBL270263,NS(=O)(=O)c1ccc(/N=C/c2ccc(O)c(O)c2)cc1,'=',2850.0
CHEMBL429915,Cc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1,'=',4940.0
CHEMBL410911,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cc(S(=O)(=O)Cc3ccccc3)n2)cc1,'>',10000.0
CHEMBL271314,CCN(Cc1ccccc1)c1cc(C(F)(F)F)nc(-c2ccc(S(C)(=O)=O)cc2)n1,'>',10000.0
CHEMBL3087871,Cc1ccc2c(c1)oc(=O)n2Cc1cn(-c2ccc(Cl)cc2)nn1,'=',5600.0
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,'=',60.0
CHEMBL282093,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,'=',10.0
CHEMBL43957,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,'=',510.0
CHEMBL145598,CCCCCCCCc1ccccc1OC(C)=O,'>',40000.0
CHEMBL507789,CS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,'=',210.0
CHEMBL1957456,CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,'=',450000.0
CHEMBL2096834,Cc1cc(=O)c(Oc2ccc(Cl)cc2F)c(-c2ccc([S@@+](C)[O-])cc2)o1,'=',2470.0
CHEMBL186632,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',0.44
CHEMBL386992,NS(=O)(=O)c1ccc(/N=N/c2ccc(O)c(O)c2)cc1,'=',12420.0
CHEMBL404476,NS(=O)(=O)c1ccc(/C=N/c2ccc(O)cc2)cc1,'=',5090.0
CHEMBL408865,CN(C)c1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1,'=',1950.0
CHEMBL1163219,COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,'=',197900.0
CHEMBL116253,Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,'=',284.0
CHEMBL40245,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',19.95
CHEMBL324823,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2cnccc2O)cc1,'>',1000.0
CHEMBL326335,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,'=',6.0
CHEMBL264503,CS(=O)(=O)Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccccc1Cl,'>',40000.0
CHEMBL273340,CC1(O)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,'=',250.0
CHEMBL110660,Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,'=',410.0
CHEMBL158509,Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)s2)o1,'=',1200.0
CHEMBL326024,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(=O)(=O)N(C)C)cc2)co1,'=',4168.69
CHEMBL313387,NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,'=',1.0
CHEMBL407368,Cc1ccc(Nc2c(C)cccc2Cl)c(CC(=O)O)c1,'=',60.0
