Smiles,Standard Relation,Standard Units,Standard Value
NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,'=',nM,10.0
CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,'=',nM,510.0
CS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,'=',nM,210.0
CSCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,'=',nM,450000.0
Cc1cc(=O)c(Oc2ccc(Cl)cc2F)c(-c2ccc([S@@+](C)[O-])cc2)o1,'=',nM,2470.0
CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,0.44
NS(=O)(=O)c1ccc(/N=N/c2ccc(O)c(O)c2)cc1,'=',nM,12420.0
NS(=O)(=O)c1ccc(/C=N/c2ccc(O)cc2)cc1,'=',nM,5090.0
CN(C)c1ccc(/N=C/c2ccc(S(N)(=O)=O)cc2)cc1,'=',nM,1950.0
COc1ccc2c(c1)c1c(n2C(=O)c2ccc(Cl)cc2)CCN(CCCOc2cc(F)cc(C3(OC)CCOCC3)c2)C1.Cl,'=',nM,197900.0
Cc1ccncc1-c1c(Cl)ncn1-c1ccc(S(C)(=O)=O)cc1,'=',nM,284.0
Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,'=',nM,19.95
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,'=',nM,6.0
CC1(O)OC(=O)C(c2cccc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,'=',nM,250.0
Cc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)no1,'=',nM,410.0
Cc1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)s2)o1,'=',nM,1200.0
Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(=O)(=O)N(C)C)cc2)co1,'=',nM,4168.69
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,'=',nM,1.0
Cc1ccc(Nc2c(C)cccc2Cl)c(CC(=O)O)c1,'=',nM,60.0
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F,'=',nM,120.23
CS(=O)(=O)c1ccc(-c2cc3c(cc2-c2ccc(F)cc2)COC3)cc1,'=',nM,83.18
Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,'=',nM,79.43
